,location_name,ISO3_code
0,Philippines,PHL
2,Hungary,HUN
4,San Marino,SMR
6,Timor-Leste,TLS
8,Ghana,GHA
10,Zambia,ZMB
12,France,FRA
14,Honduras,HND
16,Djibouti,DJI
18,Japan,JPN
20,Bangladesh,BGD
22,Fiji,FJI
24,Liberia,LBR
26,Kuwait,KWT
28,Armenia,ARM
30,Iceland,ISL
32,Georgia,GEO
34,Dominican Republic,DOM
36,Iraq,IRQ
38,United Kingdom,GBR
40,El Salvador,SLV
42,Sri Lanka,LKA
44,Brunei Darussalam,BRN
46,Saint Kitts and Nevis,KNA
48,Kenya,KEN
50,Sudan,SDN
52,Poland,POL
54,Panama,PAN
56,Guinea-Bissau,GNB
58,Greece,GRC
60,Nepal,NPL
62,Lesotho,LSO
64,Micronesia (Federated States of),FSM
66,Morocco,MAR
68,Mongolia,MNG
70,China,CHN
72,Slovakia,SVK
74,Mexico,MEX
76,Denmark,DNK
78,American Samoa,ASM
80,Dominica,DMA
82,Singapore,SGP
84,Haiti,HTI
86,Lebanon,LBN
88,Chile,CHL
90,Tuvalu,TUV
92,Saint Lucia,LCA
94,Russian Federation,RUS
96,Switzerland,CHE
98,Costa Rica,CRI
100,Mauritania,MRT
102,South Africa,ZAF
104,Serbia,SRB
106,Ethiopia,ETH
108,Israel,ISR
110,Brazil,BRA
112,Qatar,QAT
114,Eswatini,SWZ
116,Iran (Islamic Republic of),IRN
118,Nauru,NRU
120,North Macedonia,MKD
122,Luxembourg,LUX
124,Sierra Leone,SLE
126,Andorra,AND
128,Trinidad and Tobago,TTO
130,Burkina Faso,BFA
132,Lao People's Democratic Republic,LAO
134,Norway,NOR
136,Somalia,SOM
138,Bulgaria,BGR
140,Greenland,GRL
142,Germany,DEU
144,Argentina,ARG
146,Canada,CAN
148,Guinea,GIN
150,Saint Vincent and the Grenadines,VCT
152,New Zealand,NZL
154,Marshall Islands,MHL
156,Bahamas,BHS
158,Palau,PLW
160,Cyprus,CYP
162,Guyana,GUY
164,Sao Tome and Principe,STP
166,Turkmenistan,TKM
168,Ecuador,ECU
170,Chad,TCD
172,Burundi,BDI
174,Kazakhstan,KAZ
176,Romania,ROU
178,Tokelau,TKL
180,Uganda,UGA
182,Sweden,SWE
184,Republic of Moldova,MDA
186,Gambia,GMB
188,Grenada,GRD
190,Czechia,CZE
192,Cuba,CUB
194,Myanmar,MMR
196,Namibia,NAM
198,Colombia,COL
200,Malta,MLT
202,Guatemala,GTM
204,Democratic People's Republic of Korea,PRK
206,Samoa,WSM
208,Albania,ALB
210,Republic of Korea,KOR
212,Togo,TGO
214,Malawi,MWI
216,Viet Nam,VNM
218,Cameroon,CMR
220,Central African Republic,CAF
222,Austria,AUT
224,Gabon,GAB
226,Ukraine,UKR
228,Bhutan,BTN
230,Mali,MLI
232,Latvia,LVA
234,Jordan,JOR
236,Syrian Arab Republic,SYR
238,Ireland,IRL
240,Jamaica,JAM
242,Finland,FIN
244,Indonesia,IDN
246,Bahrain,BHR
248,Vanuatu,VUT
250,Croatia,HRV
252,Equatorial Guinea,GNQ
254,Belize,BLZ
256,Maldives,MDV
258,Rwanda,RWA
260,Azerbaijan,AZE
262,Nicaragua,NIC
264,Cook Islands,COK
266,United Arab Emirates,ARE
268,Comoros,COM
270,Palestine,PSE
272,Venezuela (Bolivarian Republic of),VEN
274,Botswana,BWA
276,United States Virgin Islands,VIR
278,Thailand,THA
280,Afghanistan,AFG
282,Slovenia,SVN
284,Kiribati,KIR
286,Zimbabwe,ZWE
288,Libya,LBY
290,Bermuda,BMU
292,Eritrea,ERI
294,Tajikistan,TJK
296,Cambodia,KHM
298,Pakistan,PAK
300,Australia,AUS
302,Saudi Arabia,SAU
304,Nigeria,NGA
306,Suriname,SUR
308,Estonia,EST
310,Papua New Guinea,PNG
312,Paraguay,PRY
314,Niger,NER
316,India,IND
318,United Republic of Tanzania,TZA
320,Guam,GUM
322,Montenegro,MNE
324,Kyrgyzstan,KGZ
326,South Sudan,SSD
328,Madagascar,MDG
330,Turkey,TUR
332,Tonga,TON
334,Portugal,PRT
336,Angola,AGO
338,Malaysia,MYS
340,Niue,NIU
342,C̫te d'Ivoire,CIV
344,Barbados,BRB
346,Mozambique,MOZ
348,Algeria,DZA
350,Senegal,SEN
352,Democratic Republic of the Congo,COD
354,Taiwan (Province of China),TWN
356,Puerto Rico,PRI
358,Italy,ITA
360,Peru,PER
362,Uruguay,URY
364,Bolivia (Plurinational State of),BOL
366,Mauritius,MUS
368,Uzbekistan,UZB
370,Oman,OMN
372,Monaco,MCO
374,United States of America,USA
376,Netherlands,NLD
378,Congo,COG
380,Benin,BEN
382,Antigua and Barbuda,ATG
384,Seychelles,SYC
386,Bosnia and Herzegovina,BIH
388,Solomon Islands,SLB
390,Egypt,EGY
392,Belarus,BLR
394,Northern Mariana Islands,MNP
396,Spain,ESP
398,Cabo Verde,CPV
400,Belgium,BEL
402,Tunisia,TUN
404,Lithuania,LTU
406,Yemen,YEM
